index,age,race,sex,education,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,y
4378,22, White, Male, HS-grad,a_4,b_8,c_2,d_39,e_4,290504,9,0,0,40,0
4379,24, White, Male, HS-grad,a_4,b_12,c_4,d_39,e_4,205865,9,0,0,45,0
4380,58, White, Male, Bachelors,a_4,b_10,c_1,d_39,e_4,164857,13,0,0,99,0
4381,22, White, Male, 11th,a_4,b_6,c_3,d_39,e_2,44064,7,0,0,35,0
4382,23, Black, Female, HS-grad,a_4,b_6,c_4,d_39,e_4,153044,9,0,0,7,0
4383,67, White, Male, Doctorate,a_2,b_10,c_0,d_39,e_6,217892,16,10605,0,35,1
4384,42, White, Female, Some-college,a_2,b_7,c_5,d_39,e_4,156580,10,0,0,37,1
4385,33, White, Male, HS-grad,a_2,b_3,c_0,d_39,e_4,232475,9,0,0,40,1
4386,46, White, Female, HS-grad,a_0,b_10,c_1,d_39,e_2,146497,9,0,0,40,0
4387,35, White, Female, Assoc-acdm,a_4,b_8,c_1,d_39,e_4,356238,12,0,0,80,1
4388,18, White, Female, 12th,a_4,b_12,c_3,d_39,e_4,118847,8,0,0,20,0
4389,20, White, Female, HS-grad,a_4,b_12,c_3,d_39,e_4,400443,9,0,0,20,0
4390,47, White, Female, Some-college,a_0,b_4,c_1,d_39,e_6,173613,10,0,0,65,0
4391,44, White, Male, Masters,a_2,b_13,c_0,d_39,e_4,112517,14,0,0,20,1
4392,23, White, Female, Some-college,a_4,b_8,c_4,d_8,e_4,227070,10,0,0,48,0
4393,56, Asian-Pac-Islander, Male, HS-grad,a_2,b_14,c_0,d_39,e_4,91262,9,0,0,45,0
4394,39, White, Male, HS-grad,a_2,b_4,c_0,d_39,e_4,316211,9,0,0,60,1
4395,28, White, Female, Some-college,a_4,b_0,c_2,d_39,e_0,194087,10,0,0,40,0
4396,30, White, Male, Bachelors,a_2,b_12,c_0,d_39,e_4,226443,13,0,0,50,1
4397,18, White, Male, 5th-6th,a_4,b_6,c_2,d_16,e_4,282609,3,0,0,30,0
4398,28, White, Male, Assoc-acdm,a_2,b_13,c_0,d_39,e_4,405793,12,0,0,45,1
4399,33, Asian-Pac-Islander, Male, Prof-school,a_2,b_4,c_0,d_24,e_4,72338,15,0,0,65,1
4400,51, Black, Male, 5th-6th,a_2,b_6,c_0,d_39,e_4,293802,3,0,0,52,0
4401,59, White, Female, HS-grad,a_6,b_1,c_4,d_39,e_4,196482,9,0,0,40,0
4402,43, White, Male, HS-grad,a_2,b_11,c_0,d_39,e_2,161240,9,0,0,45,1
4403,38, White, Female, Bachelors,a_2,b_10,c_5,d_39,e_2,82880,13,0,0,15,0
4404,55, White, Female, Bachelors,a_0,b_1,c_4,d_39,e_4,147653,13,0,0,73,0
4405,22, White, Female, HS-grad,a_4,b_8,c_3,d_39,e_4,127647,9,0,0,36,0
4406,56, White, Male, Bachelors,a_2,b_1,c_0,d_39,e_4,65325,13,0,0,50,0
4407,61, White, Male, 12th,a_3,b_10,c_1,d_39,e_4,34632,8,0,0,40,0
4408,25, Black, Male, Some-college,a_2,b_12,c_0,d_39,e_4,306666,10,0,0,45,0
4409,24, White, Male, 12th,a_4,b_12,c_2,d_39,e_4,179203,8,0,0,55,0
4410,38, White, Male, Bachelors,a_2,b_10,c_0,d_39,e_4,333651,13,15024,0,70,1
4411,58, White, Female, HS-grad,a_2,b_4,c_5,d_39,e_6,196403,9,0,0,10,1
4412,39, White, Male, Assoc-voc,a_2,b_5,c_0,d_39,e_6,188571,11,0,0,60,0
4413,22, White, Male, HS-grad,a_4,b_7,c_3,d_39,e_5,150683,9,0,0,24,0
4414,28, White, Male, 11th,a_2,b_3,c_0,d_39,e_4,132870,7,0,0,45,0
4415,64, White, Male, 7th-8th,a_2,b_1,c_0,d_39,e_4,75577,4,2580,0,50,0
4416,36, White, Male, HS-grad,a_2,b_3,c_0,d_39,e_4,231948,9,0,0,64,1
4417,56, Black, Male, 10th,a_2,b_1,c_0,d_39,e_4,134153,6,0,0,40,0
4418,37, White, Male, Doctorate,a_2,b_10,c_0,d_0,e_1,129573,16,0,0,72,1
4419,19, White, Female, HS-grad,a_4,b_1,c_3,d_39,e_4,120251,9,0,0,14,0
4420,45, White, Male, Some-college,a_2,b_3,c_0,d_39,e_4,194698,10,0,0,40,1
4421,17, White, Female, 10th,a_4,b_6,c_3,d_39,e_4,260797,6,0,0,23,0
4422,80, White, Female, 7th-8th,a_6,b_8,c_1,d_39,e_4,249983,4,0,0,24,0
4423,38, White, Female, Bachelors,a_2,b_1,c_5,d_39,e_6,243484,13,0,0,28,1
4424,30, White, Female, HS-grad,a_5,b_4,c_4,d_39,e_4,396538,9,0,0,29,0
4425,30, White, Male, Assoc-voc,a_4,b_11,c_1,d_39,e_2,172822,11,0,0,40,0
4426,42, Black, Male, Some-college,a_2,b_11,c_0,d_39,e_7,136996,10,0,0,48,0
4427,31, Black, Female, Some-college,a_4,b_0,c_4,d_39,e_0,163890,10,0,0,40,0
4428,39, White, Female, Bachelors,a_2,b_10,c_5,d_39,e_4,103925,13,7688,0,32,1
4429,31, White, Male, HS-grad,a_2,b_8,c_0,d_39,e_4,59083,9,0,0,35,0
4430,66, White, Female, HS-grad,a_2,b_1,c_5,d_39,e_5,220543,9,0,0,40,1
4431,74, White, Male, HS-grad,a_2,b_4,c_0,d_39,e_4,211075,9,0,0,40,1
4432,40, White, Female, HS-grad,a_2,b_4,c_5,d_39,e_4,205706,9,0,0,40,0
4433,25, White, Male, HS-grad,a_2,b_12,c_0,d_39,e_4,169990,9,0,0,40,0
4434,31, White, Male, HS-grad,a_4,b_12,c_2,d_39,e_4,187203,9,0,0,40,0
4435,20, White, Female, Assoc-voc,a_4,b_8,c_3,d_39,e_4,211968,11,0,0,20,0
4436,49, White, Male, HS-grad,a_5,b_8,c_1,d_39,e_5,289707,9,0,0,45,0
4437,76, White, Male, 10th,a_2,b_0,c_0,d_39,e_0,79445,6,1173,0,40,0
4438,40, White, Female, Some-college,a_5,b_1,c_1,d_39,e_4,190122,10,0,0,40,0
4439,58, White, Male, Bachelors,a_2,b_4,c_0,d_39,e_5,329793,13,0,0,45,1
4440,26, Black, Female, HS-grad,a_4,b_8,c_2,d_39,e_4,358124,9,0,0,40,0
4441,38, White, Male, 10th,a_4,b_10,c_1,d_39,e_4,175360,6,0,2559,90,1
4442,53, White, Female, Some-college,a_0,b_1,c_4,d_39,e_4,117814,10,0,0,38,0
4443,48, White, Male, HS-grad,a_2,b_3,c_0,d_39,e_6,32825,9,0,0,40,0
4444,38, White, Male, Some-college,a_2,b_14,c_0,d_39,e_4,111499,10,7298,0,50,1
4445,28, Black, Male, HS-grad,a_2,b_12,c_0,d_39,e_5,201186,9,99999,0,40,1
4446,59, White, Male, HS-grad,a_2,b_4,c_0,d_39,e_6,247552,9,0,0,40,0
4447,73, White, Male, Bachelors,a_2,b_10,c_0,d_39,e_4,336007,13,0,2246,40,1
4448,27, White, Male, Bachelors,a_2,b_4,c_0,d_39,e_6,208406,13,0,0,60,1
4449,70, White, Male, Bachelors,a_2,b_0,c_0,d_39,e_0,173736,13,0,0,6,0
4450,44, White, Female, HS-grad,a_4,b_8,c_3,d_39,e_4,191893,9,0,0,24,0
4451,43, White, Male, HS-grad,a_2,b_4,c_0,d_39,e_2,233865,9,0,0,40,1
4452,48, White, Male, Prof-school,a_2,b_10,c_0,d_39,e_4,109814,15,0,1977,45,1
4453,48, White, Male, Some-college,a_6,b_12,c_4,d_39,e_4,246891,10,0,0,50,1
4454,43, Black, Male, Bachelors,a_2,b_6,c_0,d_14,e_4,252519,13,0,0,40,1
4455,26, White, Male, Some-college,a_2,b_10,c_0,d_39,e_2,211497,10,0,0,40,0
4456,56, White, Female, Doctorate,a_0,b_10,c_1,d_39,e_2,52953,16,0,1669,38,0
4457,51, White, Male, HS-grad,a_2,b_14,c_0,d_39,e_2,170579,9,0,0,40,1
4458,31, White, Male, HS-grad,a_2,b_5,c_0,d_39,e_4,109055,9,3137,0,45,0
4459,52, White, Male, HS-grad,a_2,b_3,c_0,d_39,e_7,135388,9,5013,0,40,0
4460,32, Black, Male, Bachelors,a_2,b_4,c_0,d_0,e_6,62165,13,0,0,40,0
4461,40, White, Male, Bachelors,a_4,b_13,c_1,d_39,e_4,187702,13,0,0,40,0
4462,71, White, Male, Prof-school,a_2,b_10,c_0,d_39,e_4,183678,15,0,0,16,0
4463,17, White, Male, 10th,a_4,b_8,c_3,d_39,e_4,130795,6,0,0,20,0
4464,29, White, Male, Some-college,a_0,b_1,c_3,d_39,e_7,33798,10,0,0,20,0
4465,20, White, Male, HS-grad,a_4,b_14,c_3,d_39,e_6,211466,9,0,0,80,0
4466,51, White, Male, Masters,a_2,b_4,c_0,d_39,e_4,172046,14,0,1977,50,1
4467,22, White, Male, Bachelors,a_4,b_4,c_3,d_39,e_4,88126,13,0,0,40,0
4468,52, White, Male, Doctorate,a_4,b_4,c_1,d_39,e_4,110977,16,0,0,40,1
4469,28, White, Male, HS-grad,a_2,b_7,c_0,d_39,e_4,66473,9,0,0,40,0
4470,72, White, Female, 10th,a_6,b_1,c_1,d_39,e_4,33404,6,0,0,20,0
4471,28, Other, Male, HS-grad,a_5,b_6,c_1,d_39,e_4,232945,9,0,0,30,0
4472,36, Other, Male, Preschool,a_0,b_8,c_1,d_26,e_4,208068,1,0,0,72,0
4473,23, White, Female, HS-grad,a_2,b_1,c_5,d_26,e_4,375871,9,0,0,40,0
4474,31, White, Male, Some-college,a_2,b_1,c_0,d_39,e_4,400535,10,0,0,40,0
4475,37, White, Male, HS-grad,a_2,b_3,c_0,d_0,e_2,244803,9,0,0,40,0
4476,28, White, Male, 7th-8th,a_2,b_12,c_2,d_39,e_4,67218,4,0,0,40,0
4477,64, White, Male, HS-grad,a_2,b_4,c_0,d_39,e_4,477697,9,0,0,16,0
4478,56, White, Male, HS-grad,a_2,b_3,c_0,d_39,e_4,146660,9,0,0,60,0
4479,50, White, Male, Some-college,a_2,b_4,c_0,d_11,e_5,132716,10,0,0,50,1
4480,46, White, Male, Prof-school,a_2,b_4,c_0,d_39,e_7,250821,15,15024,0,40,1
4481,30, Black, Male, Some-college,a_4,b_3,c_1,d_39,e_4,633742,10,0,0,45,0
4482,23, White, Male, Some-college,a_4,b_11,c_1,d_39,e_7,279243,10,0,0,40,0
4483,32, White, Male, Assoc-acdm,a_2,b_11,c_0,d_39,e_1,504951,12,0,0,50,0
4484,43, White, Male, HS-grad,a_2,b_3,c_0,d_39,e_4,34007,9,0,0,40,1
4485,52, Black, Female, 9th,a_5,b_8,c_1,d_39,e_4,153751,5,0,0,30,0
4486,34, White, Male, 11th,a_0,b_14,c_4,d_39,e_4,60567,7,0,880,60,0
4487,25, Black, Male, HS-grad,a_5,b_11,c_3,d_39,e_4,265618,9,0,0,40,0
4488,26, White, Male, HS-grad,a_4,b_6,c_3,d_39,e_4,380674,9,0,0,52,0
4489,59, White, Male, Masters,a_2,b_10,c_0,d_39,e_7,186308,14,0,0,50,0
4490,44, White, Male, Some-college,a_2,b_4,c_0,d_39,e_7,96249,10,3411,0,40,0
4491,51, White, Male, HS-grad,a_3,b_6,c_4,d_39,e_2,193720,9,0,0,40,0
4492,22, White, Female, Some-college,a_0,b_12,c_3,d_20,e_4,190483,10,0,0,48,0
4493,24, Black, Male, Some-college,a_4,b_10,c_1,d_39,e_4,382146,10,0,0,40,0
4494,70, White, Male, Doctorate,a_2,b_4,c_0,d_39,e_5,272896,16,0,0,40,1
4495,28, White, Female, HS-grad,a_4,b_6,c_3,d_39,e_4,171067,9,0,0,40,0
4496,26, White, Male, Some-college,a_4,b_12,c_1,d_39,e_4,259585,10,0,0,24,0
4497,45, White, Male, Bachelors,a_2,b_12,c_0,d_39,e_2,182100,13,0,0,40,1
4498,30, White, Male, HS-grad,a_2,b_5,c_0,d_39,e_6,182089,9,0,0,85,0
4499,34, White, Female, Bachelors,a_4,b_10,c_1,d_39,e_4,179641,13,0,0,45,0
4500,75, White, Female, Bachelors,a_6,b_0,c_1,d_39,e_0,222789,13,0,0,6,0
4501,22, White, Male, 12th,a_2,b_14,c_0,d_39,e_4,109053,8,0,0,40,0
4502,32, White, Male, Prof-school,a_2,b_12,c_0,d_39,e_4,193042,15,15024,0,60,1
4503,33, Black, Male, Masters,a_4,b_10,c_1,d_39,e_4,188352,14,0,0,50,0
4504,39, White, Male, HS-grad,a_2,b_7,c_0,d_39,e_4,136081,9,0,2051,40,0
4505,38, Other, Female, Some-college,a_0,b_1,c_4,d_39,e_4,165302,10,0,0,40,0
4506,45, White, Male, Bachelors,a_0,b_11,c_1,d_39,e_2,140644,13,0,0,40,1
4507,29, White, Male, Bachelors,a_2,b_3,c_0,d_39,e_4,233421,13,3411,0,45,0
4508,32, White, Male, Masters,a_2,b_10,c_0,d_39,e_4,313835,14,0,0,40,1
4509,20, White, Male, Some-college,a_4,b_1,c_3,d_41,e_4,175069,10,0,0,40,0
4510,40, Asian-Pac-Islander, Female, Bachelors,a_2,b_8,c_5,d_24,e_4,177027,13,7688,0,52,1
4511,45, White, Male, 10th,a_2,b_3,c_0,d_39,e_6,204205,6,0,0,65,0
4512,36, White, Female, Bachelors,a_4,b_1,c_1,d_39,e_7,116554,13,0,0,40,0
4513,41, White, Female, Some-college,a_4,b_1,c_1,d_26,e_4,211731,10,0,0,40,0
4514,58, White, Male, HS-grad,a_2,b_4,c_0,d_39,e_4,239523,9,0,0,45,1
4515,32, White, Male, 11th,a_4,b_14,c_3,d_39,e_4,198068,7,0,0,40,0
4516,34, Black, Male, HS-grad,a_4,b_7,c_1,d_39,e_4,209297,9,0,2001,40,0
4517,24, White, Male, HS-grad,a_4,b_6,c_1,d_39,e_4,283896,9,0,0,40,0
4518,36, Black, Male, HS-grad,a_4,b_4,c_4,d_39,e_7,437890,9,0,0,90,0
4519,49, White, Male, Some-college,a_2,b_10,c_0,d_39,e_7,213307,10,0,0,40,0
4520,41, White, Female, Masters,a_6,b_10,c_1,d_39,e_4,70645,14,4650,0,55,0
4521,43, White, Female, Bachelors,a_4,b_10,c_4,d_39,e_6,52498,13,0,0,50,0
4522,20, Asian-Pac-Islander, Male, Some-college,a_4,b_12,c_3,d_30,e_4,298635,10,0,0,30,0
4523,31, White, Female, Some-college,a_4,b_1,c_1,d_39,e_4,182539,10,0,0,45,0
4524,70, White, Female, Some-college,a_6,b_12,c_1,d_39,e_4,221603,10,0,0,34,0
4525,48, Asian-Pac-Islander, Male, Masters,a_2,b_12,c_0,d_19,e_6,167918,14,0,0,50,0
4526,42, White, Male, HS-grad,a_2,b_12,c_0,d_39,e_6,320744,9,3908,0,45,0
4527,17, White, Female, 11th,a_4,b_12,c_3,d_39,e_4,216137,7,0,0,8,0
4528,38, White, Male, Some-college,a_0,b_7,c_4,d_39,e_6,29430,10,0,0,40,0
4529,30, White, Male, HS-grad,a_4,b_7,c_2,d_40,e_4,113364,9,0,0,40,0
4530,41, White, Male, HS-grad,a_2,b_3,c_0,d_39,e_4,92733,9,0,0,40,1
4531,23, White, Male, Bachelors,a_4,b_10,c_3,d_39,e_4,197200,13,0,0,60,0
4532,23, White, Male, 11th,a_4,b_6,c_3,d_39,e_4,139187,7,0,0,50,0
4533,27, White, Female, HS-grad,a_4,b_8,c_1,d_39,e_4,158156,9,0,0,42,0
4534,33, White, Male, HS-grad,a_5,b_6,c_4,d_33,e_4,192644,9,0,0,35,0
4535,42, White, Male, Bachelors,a_2,b_13,c_0,d_39,e_4,111483,13,0,0,50,1
4536,33, White, Male, Bachelors,a_4,b_10,c_1,d_39,e_5,49795,13,0,0,45,0
4537,37, White, Male, Some-college,a_2,b_7,c_0,d_39,e_4,314963,10,0,0,40,0
4538,40, White, Male, 9th,a_2,b_6,c_0,d_39,e_4,194360,5,0,0,40,0
4539,45, White, Male, Bachelors,a_2,b_10,c_0,d_39,e_6,123681,13,0,0,30,0
4540,39, White, Female, HS-grad,a_2,b_1,c_5,d_39,e_4,125550,9,0,0,40,1
4541,33, Black, Male, Some-college,a_2,b_14,c_0,d_39,e_4,189368,10,0,0,40,1
4542,19, White, Male, Some-college,a_4,b_3,c_3,d_39,e_4,286435,10,594,0,40,0
4543,17, White, Female, 9th,a_4,b_8,c_3,d_39,e_4,60562,5,0,0,20,0
4544,24, White, Male, Some-college,a_4,b_3,c_3,d_39,e_4,204653,10,0,0,40,0
4545,33, Black, Female, Assoc-voc,a_4,b_8,c_4,d_39,e_4,149220,11,0,0,40,0
4546,21, White, Male, Some-college,a_4,b_6,c_3,d_39,e_7,164922,10,0,0,40,0
4547,34, White, Male, Doctorate,a_2,b_10,c_0,d_2,e_6,213887,16,0,0,32,1
4548,35, White, Male, Prof-school,a_2,b_10,c_0,d_39,e_4,186845,15,0,0,45,1
4549,60, White, Male, Some-college,a_2,b_8,c_0,d_39,e_4,123218,10,0,0,40,0
4550,27, White, Male, HS-grad,a_2,b_4,c_0,d_39,e_4,101618,9,0,0,50,0
4551,20, White, Male, Some-college,a_4,b_12,c_3,d_39,e_4,105585,10,0,0,25,0
4552,58, Amer-Indian-Eskimo, Male, HS-grad,a_6,b_1,c_4,d_39,e_4,41374,9,0,0,40,0
4553,41, White, Female, Some-college,a_5,b_10,c_3,d_39,e_4,264663,10,0,3900,40,0
4554,40, White, Female, Some-college,a_2,b_1,c_5,d_39,e_4,136244,10,0,0,40,0
4555,39, White, Male, Bachelors,a_2,b_3,c_0,d_39,e_4,138192,13,0,0,40,1
4556,42, White, Female, Assoc-voc,a_0,b_13,c_4,d_39,e_4,190767,11,0,0,40,0
4557,41, White, Male, Some-college,a_2,b_3,c_0,d_39,e_4,198425,10,0,0,45,0
4558,21, White, Female, Some-college,a_4,b_1,c_3,d_39,e_6,57298,10,0,0,15,0
4559,42, White, Male, Assoc-voc,a_2,b_4,c_0,d_39,e_6,27821,11,0,0,60,0
4560,25, Black, Female, Bachelors,a_4,b_8,c_1,d_23,e_4,372728,13,0,0,24,0
4561,31, White, Male, Bachelors,a_2,b_12,c_0,d_39,e_4,181091,13,0,0,40,1
4562,19, White, Male, Some-college,a_4,b_0,c_3,d_39,e_0,169758,10,0,0,40,0
4563,18, White, Female, Some-college,a_4,b_1,c_3,d_39,e_4,164441,10,0,0,38,0
4564,22, White, Male, Bachelors,a_4,b_5,c_1,d_39,e_4,147397,13,0,0,20,0
4565,28, Other, Male, HS-grad,a_4,b_8,c_2,d_26,e_4,187397,9,0,0,48,0
4566,46, White, Male, 7th-8th,a_2,b_14,c_0,d_39,e_4,149949,4,0,0,40,0
4567,55, White, Male, Bachelors,a_2,b_10,c_0,d_39,e_4,156430,13,0,0,40,1
4568,43, Asian-Pac-Islander, Male, Bachelors,a_2,b_1,c_0,d_40,e_4,125833,13,0,0,40,0
4569,33, Black, Female, Some-college,a_5,b_8,c_4,d_39,e_4,138142,10,0,0,25,0
4570,42, White, Female, HS-grad,a_0,b_8,c_3,d_39,e_4,102085,9,0,0,15,0
4571,32, White, Female, Bachelors,a_0,b_4,c_1,d_39,e_4,177792,13,0,0,48,1
4572,64, White, Female, Some-college,a_6,b_1,c_1,d_39,e_4,187601,10,0,0,40,0
4573,29, White, Female, 10th,a_2,b_5,c_5,d_39,e_4,253752,6,0,0,40,0
4574,56, White, Male, HS-grad,a_4,b_3,c_1,d_39,e_4,261232,9,0,0,40,0
4575,32, White, Male, Bachelors,a_2,b_10,c_0,d_39,e_4,312667,13,15024,0,50,1
4576,55, White, Male, HS-grad,a_2,b_6,c_0,d_39,e_4,193130,9,0,1887,40,1
4577,25, White, Male, Some-college,a_4,b_10,c_1,d_39,e_4,469572,10,8614,0,40,1
4578,56, White, Female, 9th,a_6,b_7,c_4,d_39,e_4,149686,5,0,0,40,0
4579,30, White, Female, HS-grad,a_4,b_1,c_4,d_39,e_4,36340,9,0,0,24,0
4580,31, White, Male, HS-grad,a_4,b_3,c_1,d_39,e_5,113530,9,0,0,45,0
4581,54, White, Female, HS-grad,a_6,b_0,c_3,d_39,e_0,133963,9,0,0,40,0
4582,26, Black, Female, HS-grad,a_4,b_1,c_4,d_39,e_4,55743,9,0,0,30,0
4583,20, White, Female, HS-grad,a_4,b_4,c_4,d_39,e_4,94401,9,0,0,40,0
4584,33, White, Male, 11th,a_4,b_3,c_1,d_39,e_4,157446,7,0,0,65,0
4585,18, Asian-Pac-Islander, Female, HS-grad,a_4,b_12,c_3,d_39,e_4,71792,9,0,0,40,0
4586,47, White, Male, Some-college,a_2,b_10,c_0,d_39,e_4,264052,10,0,0,50,1
4587,51, White, Male, 12th,a_0,b_14,c_4,d_39,e_4,99316,8,0,0,50,0
4588,35, White, Male, Doctorate,a_2,b_10,c_0,d_39,e_4,113481,16,0,0,60,0
4589,48, White, Male, HS-grad,a_2,b_12,c_0,d_39,e_4,101684,9,0,0,40,0
4590,28, Black, Female, Bachelors,a_4,b_10,c_3,d_39,e_1,56651,13,0,0,40,0
4591,21, White, Female, Some-college,a_4,b_1,c_1,d_4,e_4,178255,10,0,0,30,0
4592,64, White, Female, HS-grad,a_6,b_1,c_1,d_39,e_7,201293,9,0,0,38,0
4593,24, White, Male, Bachelors,a_4,b_10,c_3,d_39,e_4,417668,13,0,0,30,0
4594,56, White, Male, Some-college,a_2,b_8,c_0,d_39,e_6,220187,10,0,0,45,1
4595,47, White, Male, Bachelors,a_4,b_4,c_1,d_39,e_4,198200,13,0,0,50,0
4596,43, White, Male, Assoc-voc,a_2,b_3,c_0,d_39,e_4,240124,11,0,0,40,0
4597,40, White, Male, HS-grad,a_2,b_1,c_0,d_39,e_4,199303,9,0,0,40,0
4598,60, Amer-Indian-Eskimo, Male, HS-grad,a_2,b_11,c_0,d_39,e_7,27037,9,0,0,40,1
4599,38, White, Female, Assoc-voc,a_0,b_8,c_1,d_39,e_4,213716,11,0,0,30,0
4600,17, White, Female, 10th,a_4,b_0,c_3,d_39,e_0,256173,6,0,0,15,0
4601,60, White, Male, 11th,a_2,b_5,c_0,d_39,e_6,220342,7,0,0,35,0
4602,22, White, Female, Some-college,a_4,b_12,c_3,d_39,e_4,267945,10,0,0,16,0
4603,27, White, Female, HS-grad,a_0,b_13,c_1,d_39,e_4,292120,9,0,0,45,0
4604,57, White, Male, HS-grad,a_2,b_0,c_0,d_39,e_0,176897,9,0,0,60,0
4605,18, White, Female, HS-grad,a_4,b_1,c_3,d_39,e_4,352640,9,0,0,40,0
4606,23, White, Male, HS-grad,a_4,b_3,c_1,d_39,e_4,195767,9,0,0,40,0
4607,50, White, Male, Assoc-voc,a_2,b_11,c_0,d_39,e_2,191130,11,0,0,40,1
4608,22, White, Female, Bachelors,a_4,b_10,c_3,d_39,e_7,201569,13,0,0,20,0
4609,27, White, Male, HS-grad,a_2,b_3,c_0,d_39,e_4,266973,9,0,0,60,0
4610,48, White, Male, HS-grad,a_2,b_1,c_0,d_39,e_4,120131,9,0,0,70,1
4611,45, White, Female, Some-college,a_0,b_4,c_4,d_39,e_4,220641,10,0,0,40,0
4612,51, White, Male, Assoc-voc,a_2,b_4,c_0,d_39,e_4,673764,11,0,0,50,1
4613,29, White, Male, Bachelors,a_2,b_12,c_0,d_39,e_4,74500,13,0,0,40,1
4614,27, White, Male, Bachelors,a_4,b_10,c_1,d_39,e_4,69132,13,0,0,40,0
4615,48, White, Male, Bachelors,a_2,b_13,c_0,d_39,e_4,125892,13,0,0,40,1
4616,37, Black, Male, Some-college,a_2,b_7,c_0,d_39,e_4,415500,10,0,0,40,1
4617,35, White, Male, Prof-school,a_2,b_10,c_0,d_39,e_6,350247,15,0,0,50,1
4618,23, White, Male, Some-college,a_4,b_3,c_3,d_39,e_4,378546,10,0,0,40,0
4619,46, White, Male, Some-college,a_2,b_12,c_0,d_39,e_4,117849,10,15024,0,40,1
4620,31, White, Male, Some-college,a_2,b_14,c_0,d_8,e_4,260782,10,0,1579,45,0
4621,42, White, Male, Masters,a_2,b_4,c_0,d_39,e_4,356934,14,0,0,40,1
4622,46, White, Female, Some-college,a_6,b_1,c_1,d_39,e_4,108699,10,0,0,60,0
4623,44, White, Male, Masters,a_2,b_4,c_0,d_39,e_4,125461,14,0,0,35,1
4624,28, White, Female, HS-grad,a_4,b_8,c_1,d_39,e_6,176027,9,0,0,28,0
4625,39, White, Female, Some-college,a_0,b_1,c_1,d_39,e_4,235259,10,0,0,40,0
4626,18, White, Female, 12th,a_4,b_9,c_1,d_39,e_4,102182,8,0,0,30,0
4627,47, White, Female, Masters,a_0,b_10,c_4,d_39,e_4,235683,14,0,0,40,0
4628,53, White, Male, Masters,a_2,b_4,c_0,d_39,e_7,197184,14,0,0,70,1
4629,21, White, Female, Some-college,a_4,b_0,c_3,d_39,e_0,205940,10,0,0,40,0
4630,60, Black, Male, HS-grad,a_4,b_4,c_1,d_39,e_6,205246,9,0,2559,50,1
4631,34, White, Male, Bachelors,a_2,b_11,c_0,d_39,e_1,198265,13,0,0,60,0
4632,34, White, Male, Some-college,a_4,b_11,c_1,d_39,e_2,177675,10,0,0,50,1
4633,76, White, Male, HS-grad,a_2,b_0,c_0,d_2,e_0,28221,9,0,0,40,1
4634,38, White, Male, Bachelors,a_0,b_4,c_1,d_39,e_4,252662,13,0,0,40,0
4635,39, White, Female, HS-grad,a_0,b_1,c_4,d_39,e_1,116608,9,0,0,40,0
4636,34, White, Male, HS-grad,a_4,b_3,c_3,d_39,e_4,236543,9,0,0,40,0
4637,46, White, Male, Bachelors,a_2,b_4,c_0,d_39,e_4,98637,13,7298,0,50,1
4638,68, White, Female, HS-grad,a_0,b_10,c_1,d_39,e_1,422013,9,0,3683,40,0
4639,22, White, Male, Assoc-acdm,a_4,b_6,c_3,d_39,e_4,188274,12,0,0,40,0
4640,72, White, Female, HS-grad,a_0,b_8,c_1,d_39,e_4,89299,9,0,0,16,0
4641,45, White, Male, Doctorate,a_2,b_10,c_0,d_39,e_4,178319,16,7688,0,50,1
4642,45, White, Female, Masters,a_0,b_4,c_1,d_39,e_4,107682,14,0,0,40,1
4643,49, White, Male, 11th,a_2,b_3,c_0,d_39,e_4,61885,7,0,0,40,0
4644,34, White, Male, HS-grad,a_2,b_3,c_0,d_39,e_4,115040,9,0,0,44,0
4645,26, White, Male, HS-grad,a_4,b_6,c_1,d_39,e_4,205036,9,0,0,42,0
4646,49, White, Female, Masters,a_2,b_10,c_5,d_39,e_2,349633,14,0,0,50,1
4647,46, White, Female, HS-grad,a_5,b_1,c_4,d_39,e_7,111163,9,0,0,38,0
4648,35, White, Female, HS-grad,a_0,b_10,c_4,d_39,e_7,225385,9,0,0,40,0
4649,50, White, Male, Bachelors,a_2,b_4,c_0,d_39,e_4,128143,13,0,0,50,1
4650,63, White, Male, Some-college,a_0,b_3,c_4,d_39,e_4,318763,10,0,0,22,0
4651,30, White, Male, Some-college,a_2,b_1,c_0,d_39,e_7,343789,10,0,0,40,1
4652,21, White, Male, Some-college,a_4,b_6,c_3,d_39,e_4,240063,10,0,0,25,0
4653,77, White, Male, Some-college,a_2,b_4,c_0,d_39,e_5,192230,10,0,0,40,0
4654,52, White, Male, HS-grad,a_2,b_3,c_0,d_39,e_4,115851,9,0,0,40,0
4655,20, White, Male, Some-college,a_4,b_12,c_1,d_39,e_4,230891,10,0,0,45,0
4656,19, White, Male, Some-college,a_4,b_7,c_3,d_39,e_4,231688,10,0,0,20,0
4657,33, White, Male, Assoc-voc,a_2,b_11,c_0,d_39,e_2,511289,11,0,0,48,1
4658,50, White, Male, Some-college,a_2,b_6,c_0,d_39,e_4,162327,10,0,0,50,0
4659,54, White, Female, HS-grad,a_0,b_0,c_1,d_39,e_0,155755,9,4416,0,25,0
4660,46, White, Female, Masters,a_2,b_10,c_5,d_39,e_4,184169,14,7688,0,35,1
